Equipment_ID,Type,Site_ID,Check_In_Date,Check_Out_Date,Engine_Hours_Day,Idle_Hours_Day,Rental_Days,Last_Operator_ID,is_anomaly,anomaly_type,total_hours,idle_ratio,is_missing_site,is_missing_operator,hours_over_24,type_enc,anomaly_score,predicted_anomaly
EQX1096,Grader,S012,2025-02-06,2025-02-11,6.8,2.9,5,OP106,0,none,9.7,0.29896904134339786,0,0,0,4,0.1515443725889999,0
EQX1096,Grader,S007,2024-11-13,2024-11-23,4.9,3.8,10,OP134,0,none,8.7,0.43678155899062543,0,0,0,4,0.15072902554245698,0
EQX1072,Crane,S012,2024-12-14,2024-12-23,9.0,5.3,9,OP128,0,none,14.3,0.3706293447112346,0,0,0,2,0.14065878544380034,0
EQX1116,Loader,S009,2024-06-08,2024-06-26,7.3,5.4,18,OP137,0,none,12.7,0.42519681691363653,0,0,0,5,0.1222318221632065,0
EQX1168,Compactor,S006,2024-04-11,2024-04-15,4.7,1.6,4,OP115,0,none,6.300000000000001,0.2539682136558391,0,0,0,1,0.1282153094850047,0
EQX1189,Compactor,S009,2024-07-11,2024-07-20,6.1,0.4,9,OP137,0,none,6.5,0.061538452071007374,0,0,0,1,0.11707275274697176,0
EQX1036,Excavator,S009,2024-04-26,2024-05-09,4.1,4.6,13,OP137,0,none,8.7,0.5287355714097045,0,0,0,3,0.1456132005650434,0
EQX1023,Loader,S005,2025-01-04,2025-01-11,3.6,5.5,7,OP102,0,none,9.1,0.6043955379785124,0,0,0,5,0.10784110389555707,0
EQX1183,Crane,S001,2024-10-09,2024-10-12,0.3,22.9,3,OP134,1,excessive_idle,23.2,0.987068922971167,0,0,0,2,-0.10752940809846878,1
EQX1103,Bulldozer,S003,2025-04-13,2025-04-30,7.2,5.9,17,OP136,0,none,13.100000000000001,0.4503816450090347,0,0,0,0,0.12893731560265947,0
EQX1220,Bulldozer,S002,2024-03-23,2024-06-17,10.3,6.0,86,OP124,1,extended_rental,16.3,0.3680981369264946,0,0,0,0,-0.09308806771844624,1
EQX1030,Grader,S010,2024-02-18,2024-03-02,5.2,3.6,13,OP110,0,none,8.8,0.40909086260331107,0,0,0,4,0.15188186317501834,0
EQX1001,Compactor,S005,2024-05-07,2024-05-14,3.5,2.9,7,OP128,0,none,6.4,0.45312492919922975,0,0,0,1,0.12940258470720595,0
EQX1004,Grader,S007,2024-03-31,2024-04-09,6.7,3.7,9,OP130,0,none,10.4,0.3557691965606542,0,0,0,4,0.1611573945190944,0
EQX1141,Crane,S009,2024-06-21,2024-06-26,5.5,0.0,5,OP106,0,none,5.5,0.0,0,0,0,2,0.10788903555524004,0
EQX1062,Crane,S008,2025-08-09,2025-08-15,4.1,1.8,6,OP117,0,none,5.8999999999999995,0.30508469405344174,0,0,0,2,0.1354812922717082,0
EQX1116,Loader,S005,2024-11-13,2024-11-17,7.7,6.4,4,OP133,0,none,14.100000000000001,0.45390067702832076,0,0,0,5,0.10975664638299937,0
EQX1168,Compactor,S006,2025-03-21,2025-03-25,5.3,2.5,4,OP102,0,none,7.8,0.3205127794214385,0,0,0,1,0.14345254358074128,0
EQX1175,Excavator,S012,2024-02-12,2024-03-03,4.4,4.0,20,OP132,0,none,8.4,0.47619041950114055,0,0,0,3,0.13970179695022983,0
EQX1043,Compactor,S012,2025-02-12,2025-02-17,5.0,4.1,5,OP117,0,none,9.1,0.45054940103852736,0,0,0,1,0.15014983361795747,0
EQX1207,Excavator,S001,2024-08-21,2024-09-10,7.1,2.5,20,OP110,0,none,9.6,0.26041663953993344,0,0,0,3,0.14343318444546205,0
EQX1189,Compactor,S012,2024-04-03,2024-04-10,8.9,2.5,7,OP112,0,none,11.4,0.21929822637734858,0,0,0,1,0.1434779267602787,0
EQX1106,Compactor,S002,2025-06-29,2025-07-04,2.7,0.3,5,OP119,0,none,3.0,0.09999996666667776,0,0,0,1,0.04653441004155656,0
EQX1135,Grader,S010,2024-11-17,2024-11-30,7.5,3.3,13,OP113,0,none,10.8,0.3055555272633771,0,0,0,4,0.15426280226312422,0
EQX1145,Crane,S009,2024-04-11,2024-04-18,3.3,4.0,7,OP126,0,none,7.3,0.5479451304184753,0,0,0,2,0.12688457798783576,0
EQX1119,Crane,UNKNOWN,2024-10-13,2024-10-22,8.4,0.0,9,OP130,1,unassigned_site,8.4,0.0,1,0,0,2,-0.04975601043089839,1
EQX1107,Crane,S001,2025-01-24,2025-01-28,10.1,5.0,4,OP119,0,none,15.1,0.3311258058857082,0,0,0,2,0.1048239594786014,0
EQX1008,Compactor,S004,2025-02-24,2025-02-25,3.7,8.2,1,OP106,0,none,11.899999999999999,0.6890755723465907,0,0,0,1,0.0680839232982971,0
EQX1148,Crane,S009,2025-04-18,2025-04-22,5.0,0.3,4,OP121,0,none,5.3,0.056603762904950394,0,0,0,2,0.09776633707734417,0
EQX1079,Grader,S009,2025-03-16,2025-05-20,8.2,7.3,65,OP135,1,extended_rental,15.5,0.47096771155047024,0,0,0,4,-0.03239975258696559,1
EQX1170,Loader,S003,2024-02-09,2024-02-17,7.7,3.3,8,OP120,0,none,11.0,0.2999999727272752,0,0,0,5,0.1377985636699422,0
EQX1121,Grader,S008,2025-05-09,2025-05-16,7.0,0.0,7,OP119,0,none,7.0,0.0,0,0,0,4,0.11732150791741813,0
EQX1056,Compactor,S010,2025-10-04,2025-10-08,7.4,3.1,4,OP137,0,none,10.5,0.29523806712018413,0,0,0,1,0.15404751854859072,0
EQX1008,Compactor,S006,2024-11-29,2024-12-11,4.5,0.9,12,OP120,0,none,5.4,0.16666663580247484,0,0,0,1,0.10994034621136839,0
EQX1114,Grader,S007,2025-02-05,2025-02-14,3.8,3.4,9,OP128,0,none,7.199999999999999,0.47222215663581163,0,0,0,4,0.1322706723442455,0
EQX1179,Loader,S012,2025-04-23,2025-05-06,6.3,5.6,13,OP118,0,none,11.899999999999999,0.47058819574889116,0,0,0,5,0.13854387241675564,0
EQX1131,Excavator,S005,2024-03-25,2024-04-10,2.8,4.9,16,OP111,0,none,7.7,0.636363553719019,0,0,0,3,0.11178784391357754,0
EQX1085,Excavator,S003,2024-07-11,2024-07-21,7.0,1.5,10,OP113,0,none,8.5,0.1764705674740509,0,0,0,3,0.14960753291362522,0
EQX1151,Compactor,S007,2025-05-23,2025-06-01,6.1,3.1,9,OP126,0,none,9.2,0.3369564851134256,0,0,0,1,0.16342077393392862,0
EQX1087,Compactor,S010,2024-10-01,2024-10-09,5.8,1.5,8,OP139,0,none,7.3,0.20547942390692822,0,0,0,1,0.1460475549739263,0
EQX1031,Compactor,S004,2024-11-23,2024-11-30,3.5,4.2,7,OP101,0,none,7.7,0.545454474616302,0,0,0,1,0.1328491850097831,0
EQX1035,Crane,S005,2024-03-11,2024-03-22,5.5,3.3,11,OP139,0,none,8.8,0.3749999573863685,0,0,0,2,0.15720607046600066,0
EQX1135,Grader,S010,2024-04-14,2024-04-27,7.1,2.4,13,OP114,0,none,9.5,0.25263155235457346,0,0,0,4,0.15417660522026821,0
EQX1034,Bulldozer,S012,2025-07-31,2025-08-14,1.8,7.0,14,OP131,0,none,8.8,0.7954544550619937,0,0,0,0,0.0412309236708141,0
EQX1063,Grader,S010,2025-01-12,2025-01-23,8.2,2.8,11,OP133,0,none,11.0,0.2545454314049608,0,0,0,4,0.1516345996381297,0
EQX1108,Bulldozer,S007,2024-11-01,2024-12-01,8.6,3.7,30,OP123,0,none,12.3,0.3008129836737412,0,0,0,0,0.0880524761243987,0
EQX1177,Crane,S012,2024-10-31,2024-11-08,0.6,6.0,8,OP137,0,none,6.6,0.9090907713498831,0,0,0,2,0.005687553370057774,0
EQX1191,Loader,S007,2024-12-04,2024-12-20,10.6,4.2,16,OP103,0,none,14.8,0.2837837646092051,0,0,0,5,0.09333777848900449,0
