Equipment_ID,Type,Site_ID,Check_In_Date,Check_Out_Date,Engine_Hours_Day,Idle_Hours_Day,Rental_Days,Last_Operator_ID,is_anomaly,anomaly_type
EQX1096,Grader,S012,2025-02-06,2025-02-11,6.8,2.9,5,OP106,0,none
EQX1096,Grader,S007,2024-11-13,2024-11-23,4.9,3.8,10,OP134,0,none
EQX1072,Crane,S012,2024-12-14,2024-12-23,9.0,5.3,9,OP128,0,none
EQX1116,Loader,S009,2024-06-08,2024-06-26,7.3,5.4,18,OP137,0,none
EQX1168,Compactor,S006,2024-04-11,2024-04-15,4.7,1.6,4,OP115,0,none
EQX1189,Compactor,S009,2024-07-11,2024-07-20,6.1,0.4,9,OP137,0,none
EQX1036,Excavator,S009,2024-04-26,2024-05-09,4.1,4.6,13,OP137,0,none
EQX1023,Loader,S005,2025-01-04,2025-01-11,3.6,5.5,7,OP102,0,none
EQX1183,Crane,S001,2024-10-09,2024-10-12,0.3,22.9,3,OP134,1,excessive_idle
EQX1103,Bulldozer,S003,2025-04-13,2025-04-30,7.2,5.9,17,OP136,0,none
EQX1220,Bulldozer,S002,2024-03-23,2024-06-17,10.3,6.0,86,OP124,1,extended_rental
EQX1030,Grader,S010,2024-02-18,2024-03-02,5.2,3.6,13,OP110,0,none
EQX1001,Compactor,S005,2024-05-07,2024-05-14,3.5,2.9,7,OP128,0,none
EQX1004,Grader,S007,2024-03-31,2024-04-09,6.7,3.7,9,OP130,0,none
EQX1141,Crane,S009,2024-06-21,2024-06-26,5.5,0.0,5,OP106,0,none
EQX1062,Crane,S008,2025-08-09,2025-08-15,4.1,1.8,6,OP117,0,none
EQX1116,Loader,S005,2024-11-13,2024-11-17,7.7,6.4,4,OP133,0,none
EQX1168,Compactor,S006,2025-03-21,2025-03-25,5.3,2.5,4,OP102,0,none
EQX1175,Excavator,S012,2024-02-12,2024-03-03,4.4,4.0,20,OP132,0,none
EQX1043,Compactor,S012,2025-02-12,2025-02-17,5.0,4.1,5,OP117,0,none
EQX1207,Excavator,S001,2024-08-21,2024-09-10,7.1,2.5,20,OP110,0,none
EQX1189,Compactor,S012,2024-04-03,2024-04-10,8.9,2.5,7,OP112,0,none
EQX1106,Compactor,S002,2025-06-29,2025-07-04,2.7,0.3,5,OP119,0,none
EQX1135,Grader,S010,2024-11-17,2024-11-30,7.5,3.3,13,OP113,0,none
EQX1145,Crane,S009,2024-04-11,2024-04-18,3.3,4.0,7,OP126,0,none
EQX1119,Crane,,2024-10-13,2024-10-22,8.4,0.0,9,OP130,1,unassigned_site
EQX1107,Crane,S001,2025-01-24,2025-01-28,10.1,5.0,4,OP119,0,none
EQX1008,Compactor,S004,2025-02-24,2025-02-25,3.7,8.2,1,OP106,0,none
EQX1148,Crane,S009,2025-04-18,2025-04-22,5.0,0.3,4,OP121,0,none
EQX1079,Grader,S009,2025-03-16,2025-05-20,8.2,7.3,65,OP135,1,extended_rental
EQX1170,Loader,S003,2024-02-09,2024-02-17,7.7,3.3,8,OP120,0,none
EQX1121,Grader,S008,2025-05-09,2025-05-16,7.0,0.0,7,OP119,0,none
EQX1056,Compactor,S010,2025-10-04,2025-10-08,7.4,3.1,4,OP137,0,none
EQX1008,Compactor,S006,2024-11-29,2024-12-11,4.5,0.9,12,OP120,0,none
EQX1114,Grader,S007,2025-02-05,2025-02-14,3.8,3.4,9,OP128,0,none
EQX1179,Loader,S012,2025-04-23,2025-05-06,6.3,5.6,13,OP118,0,none
